,links
0,https://nl.linkedin.com/in/juhani-savonen-a072b3aa
1,https://nl.linkedin.com/in/olga-batura-92a8a488
2,https://nl.linkedin.com/in/xinzhu-z/en
3,https://nl.linkedin.com/in/chloejhill/en
4,https://nl.linkedin.com/in/dilyana-r-g-9814b6212/fr?trk=people-guest_people_search-card
5,https://nl.linkedin.com/in/dr-g-s-sabrina-samson-66231923
6,https://nl.linkedin.com/in/felixichengwong
14,https://nl.linkedin.com/in/jl-hans-severens-phd-45a6239
15,https://nl.linkedin.com/in/anastasiia-falaleeva-18059a207
16,https://nl.linkedin.com/in/dilara-%C3%A7i%C3%A7ek/en
