,links
0,/search?sca_esv=594747580&q=site:nl.linkedin.com/in/+Robotics+open+to+work&tbm=isch&source=univ&fir=hCVoaH0ycQPhfM%252CiHhGc3kcJOGS9M%252C_%253B_59Cg2fc8yko6M%252C2138zo7887Jb3M%252C_%253Byv2riEXCm0S-8M%252CUI1PIqNA_1JCvM%252C_%253Bfh76xVr1-X0mUM%252CiHhGc3kcJOGS9M%252C_%253BeD9DsPNscVK4sM%252CSkTWeP-s0c2zXM%252C_%253BumGesQ1bbYdFDM%252CdTMeyS2XVFwTMM%252C_%253BJdKBSGCfkA5VCM%252CxsRHH1j9-VghfM%252C_%253BupSZX9dhtuJDSM%252CP4sB2jabqxii0M%252C_%253Br89TwQg3bLWZjM%252CDB14C-XwqOw4CM%252C_%253BCWT4fm_RYAz_xM%252CEAiYD4L3ew9w_M%252C_&usg=AI4_-kSDfaLpbPft_GKj6xFOvpaKZWq0MA&sa=X&ved=2ahUKEwi2yOWj5bmDAxViLRAIHbN4AZwQjJkEegQIGRAC&cshid=1704029912312656
1,https://nl.linkedin.com/in/valerie-fuchs
2,https://nl.linkedin.com/in/fatih-aydemir-42b934b6/en
6,https://nl.linkedin.com/in/rolfvansprundel
7,https://nl.linkedin.com/in/tanya-zinchenko-000609239?trk=public_profile_samename-profile
8,https://nl.linkedin.com/in/haoranyin-198192166/en
9,https://nl.linkedin.com/in/olga-batura-92a8a488
10,https://nl.linkedin.com/in/gerritpolder
11,https://nl.linkedin.com/in/m1v1savva/ru
21,https://nl.linkedin.com/in/stefanomoia
22,https://nl.linkedin.com/in/dani%C3%ABl-witte-0236831b0/en
23,https://nl.linkedin.com/in/victor-retamal
36,https://nl.linkedin.com/in/willem-niesing-b734854a/en
37,https://nl.linkedin.com/in/1xbit-robot-311870211
38,https://nl.linkedin.com/in/vinish-yogesh
39,https://nl.linkedin.com/in/hasin-abrar-biswas-a221a5160
56,https://nl.linkedin.com/in/binithb
